Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
3717,"Salisbury Crags, Edinburgh, City of Edinburgh (Edinburgh, Holyrood Park, Salisbury Crags; Queen's Park)",NA,NA,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
3718,"Kelsey Head, Cornwall",Eroding sea cliffs.,Coastal grassland and bare rock.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
3719,"Arthur's Seat, City of Edinburgh (Edinburgh, Holyrood Park, Arthur's Seat; Queen's Park; Crow Hill)",NA,NA,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
3720,"Samson's Ribs, Arthur's Seat, City of Edinburgh (Edinburgh, Holyrood Park, Arthur's Seat, Samson's Ribs; Queen's Park)",NA,NA,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
3721,"Wester Craiglockhart Hill, City of Edinburgh",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
3722,"Cakemuir Burn, Scottish Borders",Parchmarks in grass,NA,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3723,"Unst, Blue Mull, Shetland Islands",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3724,"Corsehope Rings, Mid Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3725,"Queen Mary's Mount, East Lothian",Partly in a plantation and otherwise known only from cropmarks,Partly planted with trees since the early 19th century,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
3726,"Fordel Mains, Midlothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3727,"East Hill, Hastings, East Sussex","Rampart generally well-preserved, despite recreation ground and use for miniature golf. Substantial erosion of sea cliffs would have destroyed any detail of enclosure to S.","Interior rough grass, scrub and tree clumps of  recreation ground, rampart scrub covered.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
3728,"Ditchling Beacon, East Sussex","Most of S half reduced or destroyed by ploughing. Elsewhere ramparts weak to 1.0m high, but generally well-preserved. Modern tracks mutilated entrances. Beacon mound disturbed by OS trig point. Viewpoint panel. Popular with visitors. National Trust site.",Rough grazing. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3729,"Ranscombe Camp, East Sussex",To SW bank reduced by ploughing. In South Downs National Park.,Improved downland pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3730,"Mount Caburn Camp, East Sussex (The Caburn)",Well-preserved despite 19th century flint digging.  In South Downs National Park.,Downland pasture. WWII slit trench. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
3731,"Seaford Head Camp, East Sussex (Seaford Camp; Burdyck Hill, Seaford Head)","Half of site lost to sea. Mutilated by tees and links of Seaford Head golf course and World War II military camp situated over E parts of fort. WWII activity includes NNE-SSW aligned, rectangular flat-roofed concrete structure, interpreted as a World War II shelter and/or magazine, measuring 7m by 3m. Structure lies within E ditch of hillfort and partly disturbed outer face of rampart.","Coastal grassland, managed grassland of golf course and scrub.",Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes
3732,"Castle Hill, Newhaven, East Sussex (Miching Camp)",Thought destroyed.,Grassy scrub and bare rock.,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
3733,"High Rocks, Kent",On Heritage at Risk Register (2015).,NA,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
3734,"Garden Hill, Hartfield, East Sussex","Post-medieval cart track disturbed NE corner. On S side c. 40m length of defences and part of interior of destroyed by deep, disused post-medieval stone quarry.",Rough grass and woodland. Quarry.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
3736,"Saxonbury Hill Camp, East Sussex",Some tree damage.,Part cleared woodland and rhododendron scrub and wooded surrounding slopes. Folly.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
3739,"Torberry, West Sussex","Plough damage, but survives fairly well.","Pasture interior with scattered trees, wooded surrounds. Medieval foundations.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
3740,"Green Hill, West Sussex",NA,Densely wooded site.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3741,"Devils Dyke, Poynings, West Sussex (Devil's Dike Camp; Poor Man's Walls)","Use of site during 19th and early 20th centuries for tavern, first constructed 1817, and visitor attractions. Steep grade railway and aerial cableway, which survive in ruined form. Modern hotel and car park, with access via minor public Dyke Road from Brighton through possible original entrance at SE corner. WWI and WWII activity disturbed ramparts. National Trust site.","Pasture and scattered trees and scrub, public buildings, car park, facilities and road.",Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
3742,"Philpots Camp, West Sussex",Fair condition.,Pasture and woodland.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
3743,"Thundersbarrow Hill, West Sussex",Nearly gone. Partly levelled by modern ploughing and mostly buried feature in E. WWII damage.,Cultivated. WWII slit trenches.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
3744,"Piper's Copse Camp, West Sussex","Site much reduced on SE side, probably during reafforestation of the area.",Reafforested.,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
3745,"The Trundle, West Sussex","Well-preserved, but disturbed in places by later tracks, marl pits, and trenches associated with reuse of the hillfort during World War II Radio-station stands in enclosure. Overlooks modern Goodwood racecourse. Close association of hillfort and enclosure with other prehistoric monuments in area, including cross dykes, burial mounds and nearby Neolithic causewayed enclosure on Court Hill,",Rough pasture and radio-station. WWII features.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes
3746,"Hammer Wood, West Sussex (Hammer Wood Camp)",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3747,"Goosehill Camp, West Sussex",Some modern chalk digging disturbance to ditch and tree root damage.,Overgrown with trees and scrub.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
3748,"Chanctonbury Ring, West Sussex","Subsequent quarrying and siting of four WWII anti-aircraft gun emplacements caused disturbance to S and SW ramparts. Monument well known local landscape feature, visible on skyline as the site of a stand of beech trees first planted 1760 by then owner, Charles Goring. Trees continually replanted by Goring family to present.",Woodland copse and rough grass. WWII anti-aircraft gun emplacements. Quarrying. SSSI.,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes
3749,"Cissbury Ring, West Sussex (Cissbury Camp)","Well-preserved National Trust site, despite past plough  damage and tree and scrub encroachment.","Rough pasture, scattered trees and scrub. Extensive Neolithic flint mines. WWII feature.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
3750,"Belle Tout, East Sussex","Much of site lost to sea on S. Bank degraded on E and N, where invisible in places. Belle Tout lighthouse on SE.",Coastal grassland. Lighthouse.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
3751,"Hollingbury Castle, East Sussex (Hollingbury Camp; Hollingbury)",Entrance part mutilated. Hollingbury golf course encroaches on N. Modern steps.,Rough pasture and scrub. Golf course encroachment.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
3752,"Lawfield, Midlothian (Lawfield, Limekiln Wood)",NA,Bisected by a public road,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3753,"Lawfield, Midlothian (Lawfield Wood; Lawfield Cottages)",Parts of the interior behind the old steading have been quarried,NA,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No
3754,"Elginhaugh Bridge, Midlothian",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3755,"Newbattle, Campwood, Midlothian (Camp Wood Hill)",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3756,"Play Hill, Crichton, Midlothian (Crichton Village)",NA,NA,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
3757,"Borthwick Mains, Midlothian (Loquhariot)",The W end has been destroyed in a sand-pit,NA,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
3758,"Woolmet, Midlothian (Cauldcoats)",Possibly destroyed on the SW flank by a coal pit and its bings,NA,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
3759,"Torquhan, Scottish Borders",Bits destroyed by quarries that pockmark its surface,NA,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
3760,"Craigend, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3761,"Watherston Hill, Scottish Borders",NA,NA,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
3762,"Nether Brotherstone, Scottish Borders (Brotherstone Hill)",NA,NA,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
3763,"Heriot Station, Scottish Borders (Hangingshaw Hill)",NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
3764,"Halltree Rings, Scottish Borders (Chapel Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3765,"Hodge Cairn, Scottish Borders (Brockhouse; Hodge Cairn, Shank Wood, Brockhouse Burn)",NA,Planted with mixed woodland in the early 19th century but now cleared,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3766,"Stagebank, Scottish Borders",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3767,"Longfaugh, Midlothian",NA,NA,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
3768,"Cakemuir Burn, Midlothian (Saughland)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3769,"Elphinstone, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3770,"West Mains, East Lothian (Falside)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No
3771,"Bigbury Camp, Kent (Bigberry Camp)",Destroyed in the S,"Grassland, small number of buildings and former gravel quarries.  2014 Google Earth imagery shows the woodland mostly felled and replanted.",Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes
3772,"Squerryes Park Camp, Kent",The ramparts have been part mutilated or cut through in places.  In the W the bank has been levelled with the ditch forming a terrace way,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3773,"Castle Hill, Fort I, Kent (Castle Hill Camp; Capel Castle Hill)",NA,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
3774,"Oldbury Camp, Kent",Survives largely intact. The southern half of the site is National Trust property.  Privately owned orchards in the S,Orchards,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
3775,"Dover Castle, Kent",NA,Occupied by the castle and later buildings,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
3776,"East Mains, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3777,"Preston Toll, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3778,"Wester Pencaitland, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3779,"The Murrays, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3780,"Stobshiel, East Lothian",NA,Has been under bracken in the past and the flanks now covered by thickets of gorse,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
3781,"Leaston, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3782,"Milton Mill, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3783,"Dodridge Law, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3784,"Costerton, East Lothian",NA,Plantations along the flanks of the promontory,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3785,"Haugh Wood, East Lothian",NA,NA,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
3786,"Mungoswells, East Lothian",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3787,"Redhouse Dean, East Lothian (Spittal)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3788,"Seton Mains, East Lothian",NA,NA,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No
3789,"Winklebury Camp, Hampshire (Winklebury)",Development surrounds site and much degraded by ploughing and development in interior on W and on far E. School and playgrounds built in W interior 1977. Subject to vandalism and rubbish dumping.,"Pasture interior on c. E two-thirds, development on remainder W. Tress on surrounds.",Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No
3790,"Bullsdown Camp, Hampshire (Bulls Down Camp)",Dense vegetation makes interpretation difficult and banks destroyed in part.,Dense oak and fir wooded. Surrounded by streams and boggy ground.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3791,"Beacon Hill, Burghclere, Hampshire",Excellent condition with no plough damage. Tomb of the 5th Earl of Carnarvon stands on platform in SW corner of hillfort. Later beacon site on highest part of hill. Setting affected by A34 immediately below fort on E.,Rough upland pasture. SSSI. Fenced off tomb.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
3792,"Bowry Walls, Kingsclere, Hampshire (The Bowry Walls)","Extensive mutilation, result of construction of Royal Hunting Lodge (SU55NW 26) and part of earthwork destroyed by construction of reservoir and part by wireless station. Chalk digging and part ploughed-out.","In Freemantle Park, parkland with buildings. Wooded to S.",Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
3793,"Ladle Hill, Hampshire",Well-preserved.,Rough pasture. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3794,"The Frith, Hampshire","Site much reduced, especially on SE. Track to Pond Farm cuts through fort E-W. N of this, fort formerly in woodland, now cleared/replanted. S of track under pasture and now faint or cropmark.",Site now cleared of woodland and under pasture.,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
3795,"Butser Hill, Hampshire",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3796,"Dicketts Plantation, Hampshire (Holybourne Down)",Ploughed-out; now faint traces only.,Cultivated.,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3797,"St John's Hill, Worldham, Hampshire (King John's Hill)",Summit of hill dug for malm stone which has erased N earthwork.,"Wooded on NE-SW, pasture with scattered trees elsewhere. Medieval structures/features.",Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes
3798,"Hamble Common, Hampshire","Fair condition. Remains of 16th century St Andrew's Castle, on the shore between high and low water marks adjacent to S terminal of the Iron Age linear ditch. Two WWII concrete anti-aircraft gun platforms at SE corner of the common within possible fort. Road passes through possible entrance.","Rough grass and scrub. Road, castle and WWII platforms.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
3799,"Hickley Wood, Hampshire","Largely destroyed by gravel extraction, now ceased. Gravel track crosses site.",Afforested and scrub.,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
3800,"Cockshot Camp, County Durham (Howbury)",Shown as ploughed down in the E and S on a plan by MacLauchlan (1849),NA,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
3801,"Tourner Bury, Hampshire (Tunorbury; Tournorbury)",Track on W side.,Woodland.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3802,"Castle Hill, Burley, Hampshire (Castle Camp, Castle-Top)","Damaged by 19th century gravel digging. Unmetalled road (Castle Hill Lane) N-S through hillfort, branching to E for access to houses to SE of fort. Between 1940-1958 10m of bank at E entrance levelled for electricity sub-station.","Overgrown with trees, furze and bracken, and marshy in places. Unmetalled road. Gravel diggings.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
3803,"Damerham Knoll Camp, Hampshire (Damerham Camp; Knoll Camp; Rockbourne Camp; Rockbourne Knoll Camp)","Bank and external ditch disturbed on N by the linear earthwork and by small-scale quarrying, and occasionally interrupted elsewhere by hollow ways. Possible NW entrance also badly mutilated. Interior also disturbed by sand digging. Site divided in half by estate boundary fence. Public (some erosion) has access to NE half of site owned by Hampshire County Council, cleared within last 5 years but now heavily overgrown with bramble and scrub. Other half on Longford Estate is inaccessible and thickly planted with conifers; heavy bramble undergrowth.",Plantation on SW side. Downland on NE. Generally overgrown. Quarrying.,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes
3804,"Ashurst Lodge, Hampshire",Fair condition. Track passes through site E-W with some damage. On Heritage at Risk Register (2015) as result of extensive animal burrowing damage.,"N part of site wooded, remainder grass and scrub.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
3805,"Castle Piece, Roe Wood, Hampshire (Roe Wood Inclosure)",Bank spread. Partially disturbed by a trackway which bisects its eastern side. Damaged by forestry operations.,Dense woodland/plantation.,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
3806,"Frankenbury, Hampshire (Frankenbury Hillfort; Godmanes Cap)",Survives well.,"Improved pasture interior, banks wooded. Wooded (Sandy Balls) slopes to river on W, wooded boundary on NE.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
3807,"Gorley Hill, Hampshire",Mostly destroyed by gravel working in 1960's before being bought by the County Council.,Rough grass and sctub.,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No
3808,"Ampress Camp, Hampshire (Ampress Hole)",Destroyed by industrial development.,Destroyed. Now industrial estate.,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
3809,"Buckland Rings, Hampshire",Well-preserved despite some plough damage. House and cottage in interior to W. Purchased by County Council 1989.,Pasture interior.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
3810,"Malwood Castle, Hampshire","Disturbed. Later use as site of modern country house,  Minstead Court, constructed 1884 and Listed Grade II,  with landscaping features associated with the house on SE and S, including partial brick revetting of rampart, brick-framed vista to SE and garden path through rampart at S corner. Also construction of septic tank on NW side.",Site of 19th century country house. Parkland interior and wooded surrounds.,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No
3811,"Tatchbury Mount, Hampshire (Tatchbury; Tatchbury Hillfort)","Site extensively landscaped and planted with trees as part of formal gardens 18th and 19th centuries. Landscaping involved partial levelling and terracing of E defences, cutting of several footpaths through banks and construction of drainage ditch on NE side.",Parkland and landscaped gardens.,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No
3812,"Whitsbury Castle Ditches, Hampshire (Whitsbury Camp; Castle Ditches)","Defences enclose the hill except on SW side where destroyed by manor house. Interior damaged by the manor house buildings and associated stables, walled garden and water reservoirs. Ploughed in past.","Parkland/pasture interior, wooded surrounds.",Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No
3813,"Ashley Wood Camp, Hampshire","Generally fairly preserved where best, but much affected by ploughing and S half of W side and W half of S side ploughed-out. Ditch variable and now buried feature in places. E occupied by farm buildings and pasture. On Heritage at Risk Register (2015).",Improved pasture and farm buildings.,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No
3814,"Tidbury Ring, Hampshire",Damaged. N ploughed-out.,"Pasture interior, wooded bank and surrounds.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
3815,"Chilworth Ring, Hampshire","Fair condition in backs of domestic gardens, but affected by housing development within and mutilated by gardens accordingly, and ditch levelled on N side.",Tree covered. Housing development within and surrounded by housing except on SE.,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No
3816,"Holbury, Hampshire",NA,NA,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
3817,"Woolbury Ring, Hampshire (Woolbury Ring Camp)","Fair condition where best. Ploughed-out on NE and E. W ditch owned by National Trust, boundary on top of bank. Rest private ownership and heavily ploughed.",Improved pasture with some scrub invasion. Part heavily ploughed. Mixed wood at N end.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
