Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
3420,"Morebattle Hill, Scottish Borders",4.0,4.0,NA,NA,NA,See main summary,Simple Gap (North); Oblique (North east); Simple Gap (South west); Simple Gap (North west),No,No
3421,"Membury Castle, Devon",3.0,2.0,One definite modern entrance on N.,Probable original entrance on SW,NA,"Three entrances, one modern on N. Possible original entrance at SW corner where S rampart terminal projects forward and outwards giving gap 3m wide gap. Another on NE side more problematical as much altered and rampart part levelled, with small enclosures placed just within the rampart of probable modern origin.",Out-turned (South west); Simple Gap (North east),No,No
3422,"Berry Ball, Crediton Hamlets, Devon (Lethen Castle; Leden Castle; Leathern Castle)",-1.0,1.0,Not defined - mostly cropmark.,NA,NA,"At NE end very spread bank 0.8m. high possibly site of inturned entrance. Ridgeway road may have utilised it, but now seems to rest on accompanying inturn.",In-turned (North east),No,No
3423,"Sidbury Castle, Devon",1.0,1.0,NA,NA,NA,Single elongated passageway entrance to NW formed by twin extension of ramparts at NW end producing bottleneck passageway c.100m long which has sunken appearance. Scarped platform overlooking hillslope to W would appear to have provided additional cover for W approaches to passageway.,Passage-way/Corridor (North west); Outworks (North west),No,No
3424,"Berber Hill, Devon",1.0,1.0,NA,NA,NA,Entrance on W with short outwork ditch beyond.,Outworks (West),No,No
3425,"Boddington Camp, Buckinghamshire (Boddington Bank)",2.0,0.0,Modern breaks,NA,NA,The location of the original entrance is unknown but possibly lay in the NE where the ramparts are now destroyed.,NA,No,No
3426,"Hownam Law, Scottish Borders",3.0,2.0,NA,NA,NA,See main summary,Simple Gap (South west); Simple Gap (North east),No,No
3427,"Whitmuirhaugh, Sprouston, Scottish Borders",5.0,0.0,NA,There is no clear evidence that any of these gaps is an entrance,NA,See main summary,NA,No,No
3429,"Boringdon Camp, Devon",-1.0,2.0,Some modern breaks - not determined.,Complex SE entrance with barbican.,NA,"Original inturned entrance to SE, with 3m wide passageway, later mutilated and blocked. Modern quarry damaged causeway across ditch. Barbican (trapezoidal outwork) protects entrance, with interior 37.5m N-S, tapering E-W from 42m wide to 23m at S end. Its bank rises to 0.4m internally, with ditch 6m wide and 0.4m deep. Outer entrance to barbican 5m wide with hollow way. Barbican can be equated with that at Blackbury Castle (Atlas No. 3350).",In-turned (South east); Passage-way/Corridor (South east); Blocked (South east); Barbican (South east); Hollow Way (South east); Hollow Way (South east),No,No
3430,"Holbury Camp, Devon (Oldbury Camp; Castel Paise)",4.0,3.0,Modern gap on S.,"Entrance on NW and W considered modern by Wilkes (2007, 126).",NA,"Four entrances, original to NE, but those to NW and third, now blocked, on W, problematical, considered modern by Wilkes (2007, 126). Modern gap on S. On NE causeway crosses ditch through staggered banks, that on W 8m in front of other. NW entrance has curving semicircular hornwork c. 41m wide some 30m from rampart to 0.6m high, with outer ditch on E. W entrance blocked with traces of hornwork across ditch and hollow way down hill.",Over-lapping (North east); Hornwork (North west); Blocked (West); Hornwork (West); Hollow Way (West),No,No
3431,"Burleigh Dolts, Devon (Malborough Camp)",4.0,3.0,"Another entrance, 110m to NW, of later date, with hollow way followed by modern footpath climbs up through from N, but no obvious break.",NA,NA,"Generally entrance through banks follows line uphill. Victoria County History shows overlapping entrance at SW corner, but aerial photographs show continuous bank here despite being most probable location. Original main gate possibly at extreme E apex of outer rampart, inturned slightly, with faint hollow. Entrance at NW corner of site has traces of hornwork below, projecting from outer rampart and curving round to E, followed in part by later hedgebank. Another entrance, 110m to NW of later date, with hollow way followed by modern footpath climbs up through from N, but no obvious break.    followed in part by later hedgebank. Improved",Over-lapping (South west); In-turned (East); Hollow Way (East); Hornwork (North west),No,No
3432,"Redden, Scottish Borders",0.0,0.0,NA,Not known,NA,None known,NA,No,No
3433,"Loddiswell Rings, Devon (Blackdown Rings; The Rings, Loddiswell; Blackdown Camp)",2.0,2.0,NA,NA,NA,"East and W opposing entrances, both with causeway across ditch and c. 8m gap through ramparts",Simple Gap (East); Simple Gap (East),No,No
3434,"Kerchesters, Scottish Borders",0.0,0.0,NA,Not known,NA,None known,NA,No,No
3435,"Ednam Hill, Scottish Borders",2.0,2.0,Whole circuit ploughed flat,NA,NA,See main summary,Simple Gap (North); Simple Gap (South),No,No
3436,"Wooden House, Scottish Borders",0.0,0.0,NA,None known,NA,None known,NA,No,No
3437,"Woodbury Camp, Devon (Woodbury)",3.0,1.0,Reduction in height of bank on SW possible later entrance. Gap on NW modern.,NA,NA,Possible entrance on SE corner where reduction in rampart height coincides with a faint hornwork projecting from the rampart to E. Reduction in height of bank on SW possible later entrance. Gap on NW modern.,Hornwork (South east),No,No
3438,"Camp Tops, Scottish Borders (Camp Tops Fort; Cock Law)",3.0,2.0,A small quarry has been cut though the ramparts on the SW,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
3439,"Bolt Tail Camp, Devon",2.0,2.0,NA,NA,NA,"Well-marked inturned entrance through rampart to S of mid point and formerly approached by hollow-way now ploughed-out. Twin arms composed of mostly smallish stones, and open onto a natural level terrace. Possible entrance near cliff edge on NW.",In-turned (South west); Hollow Way (South west); Simple Gap (North west),No,No
3440,"Hayhope Knowe, Scottish Borders",2.0,2.0,NA,"Generalised into one at either end of the palisaded inner enclosure, with the addition of a third through the earthwork",NA,See main summary,Simple Gap (East); Other Forms (East); Other Forms (West),No,No
3441,"Church Hill, West Wycombe, Buckinghamshire (West Wycombe Camp)",2.0,0.0,Both breaks are modern,NA,NA,"The location of original entrances is unknown, but the discovery of the ditches close to the present NW entrance, would make an original entrance here unlikely. An entrance most likely lay within the now destroyed SE defences, and a break to the N of the Mausoleum, on a survey plan created for VCH (1908), appears to show rounded terminals.",NA,No,No
3442,"Bulstrode Camp, Buckinghamshire (The Camp)",10.0,1.0,NA,NA,NA,"The location of the original entrance is unknown. Five breaks were recorded by Fox and Clarke (1924). Ten breaks were recorded during a citizen science survey, nine of which appeared to be related to later entrances. Several were post-1924 and fairly recent, created as entry points for walkers to the open area, mostly from their properties abutting the site. The only potential entrance is in the E where the footpath from Camp Road enters the site and which is also marked by an old oak, which possibly formed part of the 18th century tree-line crossing the site.",Simple Gap (East),No,No
3443,"Pulpit Hill, Buckinghamshire",5.0,1.0,NA,NA,NA,"A simple causewayed entrance 18m wide, cuts centrally through the ramparts in the E.",Simple Gap (East); Simple Gap (East),No,No
3444,"Medmenham Camp, Buckinghamshire (Bolebec's Castle; States House Hillfort)",1.0,1.0,NA,NA,NA,A single 12m wide entrance lies at the NW corner with a causeway across the ditch. Slight traces of  additional earthworks in this area suggests the entrance may have been more elaborate than it now appears.,Simple Gap (North west),No,No
3445,"Seven Ways Plain, Buckinghamshire",3.0,1.0,NA,NA,NA,A narrow causeway in the SW is thought to be an original entrance,Simple Gap (South west),No,No
3446,"Danesfield Camp, Buckinghamshire (Dane's Ditches)",2.0,-1.0,NA,NA,NA,"The original entrance is considered to have lain in the NW, although this is unconfirmed. Two modern causeways carry roads across the ramparts to service the buildings.",NA,No,No
3447,"Whelpley Hill, Buckinghamshire",5.0,1.0,NA,NA,NA,"Five entrances, most probably created during the time the interior was used as pasture, were recorded at the time the trees were removed.  A single 9m wide entrance in the SE is considered original although there is no causeway across the ditch.",Simple Gap (South east),No,No
3448,"Cholesbury Camp, Buckinghamshire (Bury Hills; The Camp; The Danish Camp)",4.0,0.0,NA,NA,NA,"The location of the original entrance is unknown.  It could be in the SW, which later became the entrance to the 13th-14th century church. Kimball (1933) believed only the break in the centre of the NW defences was original, with other breaks later additions and suggests a break in the NE was possibly a secondary entrance, connecting the hillfort with Shire Lane, an ancient routeway connecting to the Aylesbury Vale Ridgeway and Grim's Ditch.",NA,No,No
3449,"Norbury, Buckinghamshire",-1.0,-1.0,NA,NA,NA,The location of entrances is not recorded,NA,No,No
3450,"Danesborough Camp, Milton Keynes",3.0,1.0,"The site is open in the N, possibly destroyed or unfinished. There is also a break in the ramparts in the NE",NA,NA,Entrance in the SW shown by excavation to be original (Berry 1926),Simple Gap (South west),No,No
3451,"Asheldham Camp, Essex",-1.0,-1.0,NA,NA,NA,"A possible entrance to the camp was observed in 1893, although no obvious entrances could be determined in 1985 (Bedwin 1991)",NA,No,No
3452,"Desborough Castle, Buckinghamshire (The Roundabout)",2.0,-1.0,Modern Road,NA,NA,The location of original entrances is unknown,NA,No,No
3453,"Craik Moor, Scottish Borders",2.0,1.0,NA,"There is only one entrance known into the summit fort, and possibly another into the double palisade, representing a separate period of enclosure",NA,See main summary,Simple Gap (East); Other Forms (West),No,No
3454,"The Castles, Scottish Borders (Calroust Fort)",5.0,4.0,A gap on the N is probably of relatively recent date,NA,NA,See main summary,Oblique (East); Simple Gap (East); Simple Gap (South east); Passage-way/Corridor (South west); Simple Gap (North west),No,No
3455,"Park Law, Scottish Borders (Sourhope)",1.0,1.0,There is evidence of robbing all round the circuit,Only one entrance known into the inner fort,NA,See main summary,Simple Gap (East); Simple Gap (South east),No,No
3456,"Seaton Down, Devon",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
3457,"Brembridge Wood, Castle Hill Park, Devon",-1.0,1.0,No details,Possible entrance,NA,Suggested overlapping entrance - position not determined.,NA,No,No
3458,"Hillsborough, Ilfracombe, Devon",1.0,1.0,NA,NA,NA,Inturned entrance c. 4m wide cuts through both banks on E.,In-turned (East),No,No
3459,"Countisbury Castle, Devon (Shoulsbury; Wind Hill)",1.0,1.0,NA,NA,NA,"Possible original entrance just S of centre of bank to give access to Winh Hill, the highest part of the fort interior. Outwork, now much reduced, but still to 2m high and 9m wide, fronting entrance in a curve c. 30m away and running for c. 95m from against counterscarp bank 30m N of entrance to possibly joining counterscarp again c. 70m S of entrance, but this point has been ploughed out.",Outworks (East),No,No
3460,"Castle Head, Dartmouth, Devon (Dartmouth Castle)",0.0,0.0,NA,NA,NA,No modern details.,NA,No,No
3461,"Greenway Camp, Kingswear, Devon (Noss Camp)",4.0,2.0,NA,NA,NA,"Entrances problematical as four trackway gaps, but that at NW may be original. Postern gate on SW leads to River Dart.",Simple Gap (North west); Postern Gate (South west),No,No
3462,"Bantham Camp, Devon",0.0,0.0,NA,NA,NA,Nothing visible.,NA,No,No
3464,"Embury Beacon, Devon",1.0,1.0,NA,NA,NA,Possible barbican type entrance on E side.,Barbican (East),No,No
3465,"Castle Head, Dunterton, Devon",0.0,0.0,NA,NA,NA,No entrance defined.,NA,No,No
3466,"Okehampton Park, Devon (East Hill, Okehampton)",1.0,1.0,NA,NA,NA,Simple original entrance mid rampart on WNW.,Simple Gap (West),No,No
3467,"Hawksdown Camp, Devon (Hawkesdown Camp; Hawksdown Hill Camp; Hocksdon Castle; Oxendon Castle)",1.0,1.0,NA,NA,NA,Main gate on SE apex where approach c. level and ditch absent and end of E rampart greater.,Simple Gap (South east),No,No
3468,"Musbury Castle, Devon",2.0,2.0,NA,NA,NA,"Main gate probably on NE defended by the two transverse ramparts, described above. Second original and angled entrance possibly at SE corner and associated with the S bank and ditch.",Simple Gap (North east); Oblique (South east),No,No
3469,"Berry Cliff Camp, Devon",1.0,1.0,NA,NA,NA,"Original inturned entrance at NW corner, with passage c. 17m long, S inturn 14m long, 6m wide and 0.6m high. Corresponding inturn much damaged by vehicle access giving gap 2m-3m wide.",In-turned (North west); Passage-way/Corridor (North west),No,No
3470,"Dolbury, Devon",1.0,1.0,NA,NA,NA,Entrance 5.5m wide (modern widening) on N.,Simple Gap (North),No,No
3471,"Belbury Castle, Devon (Castle Copse; Castle Field)",0.0,0.0,NA,NA,NA,Entrance not defined.,NA,No,No
3472,"Stockland Great Castle, Devon (Stockland Great Camp)",1.0,1.0,NA,Possible entrance.,NA,It is possible that an entrance stood where the road bisects the site on E and an inturn is suggested here as result of alignment of bank and fact that both bank and ditch terminate before E-W road break.,In-turned (East),No,No
3474,"Stoke Hill Camp, Devon",2.0,1.0,Gap on W probably modern.,Mutilated original entrance on E.,NA,"Entrance, much mutilated by farm traffic, on E. Gap on W probably modern.",Simple Gap (East),No,No
3475,"Burridge Camp, Devon",3.0,1.0,"Gap on NW just over 3m wide probably later and another on SE, where gap 3.55m wide, also modern.",NA,NA,"Main entrance on SE where curving stone banks to 10m long define entrance. Another on NW just over 3m wide probably later and a third on SE, where gap 3.55m wide, also modern.",Passage-way/Corridor (South east),No,No
3476,"Posbury Camp, Devon",0.0,0.0,NA,NA,NA,Position of entrance unclear.,NA,No,No
3478,"Berry Castle, Devon (Bury Camp)",0.0,1.0,NA,NA,NA,"Entrance uncertain, but may be on S.",Simple Gap (South),No,No
3479,"Blackbrough Hill, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Passage-way/Corridor (North east); Out-turned (North east); Simple Gap (South west),No,No
3480,"Church Hope Hill, Scottish Borders",3.0,1.0,Pierced in two places by a modern track and ploughed down elsewhere,NA,NA,See main summary,Simple Gap (North east),No,No
3481,"Sundhope Kipp, Scottish Borders",3.0,3.0,NA,NA,NA,See main summary,Passage-way/Corridor (East); Oblique (East); Simple Gap (South east); Oblique (North west); Simple Gap (North west),No,No
3482,"Berry Castle, Huntshaw, Devon",3.0,1.0,NA,Two gaps on E and W and through fort modern rides through wood.,NA,"Banks stony and particularly strong near original inturned entrance on NW, where counterscarp outside ditch. Immediately inside entrance oval depression 1m deep enclosed by 0.4m high bank and 0.9m wide; trees here hamper interpretation. Two gaps on E and W modern rides through wood.",In-turned (North west); Other Forms (North west),No,No
3483,"Loughton Camp, Essex (Cowper's Camp)",7.0,1.0,NA,NA,NA,"Breaks occur all around the defences and a spring issuing from the SW corner has created a gap of over 40m in this area. Seven breaks are recorded around the circuit on a plan created in 1883 (http://seax.essexcc.gov.uk/Result_Details.aspx?DocID=313224). The location of the original entrance is unproven although a possible entrance lies in the S where there is a 4.3m wide causeway across the ditch (Warren 1928, 118)",Other Forms (South),No,No
